,Month,Options PNL,,
0,2019-01,270224.5786,332400,-62175.42139
1,2019-02,145586.6102,197262,-51675.38977
2,2019-03,-172006.3392,-175823,3816.660796
3,2019-04,182429.6663,209558.3,-27128.63368
4,2019-05,217423.2308,178802.3,38620.93079
5,2019-06,303475.6312,272183.9,31291.73119
6,2019-07,304638.8432,331333.9,-26695.05676
7,2019-08,124045.8287,190564.6,-66518.77133
8,2019-09,-951142.2324,-952022,879.7676023
9,2019-10,-215525.057,-306277,90751.943
10,2019-11,222441.1259,280145.5,-57704.37411
11,2019-12,122941.5945,115325.9,7615.694455
12,2020-01,195810.1823,232658.4,-36848.21768
13,2020-02,-126359.3462,-83486.7,-42872.64619
14,2020-03,457126.2627,457068.7,57.56270728
15,2020-04,-1634108.321,-1570042,-64066.32086
16,2020-05,355598.3659,439507.2,-83908.83411
17,2020-06,-144168.3039,-154910,10741.69612
18,2020-07,-236564.2915,-262784,26219.70845
19,2020-08,-403384.7646,-395189,-8195.764616
20,2020-09,208346.7209,256424.1,-48077.37911
21,2020-10,-112277.5142,-162803,50525.48582
22,2020-11,-469168.8185,-491451,22282.18148
23,2020-12,-92795.10173,-148448,55652.89827
24,2021-01,-292961.9865,-312003,19041.01345
25,2021-02,-329990.6861,-364652,34661.31386
26,2021-03,409714.8457,450511.3,-40796.45433
27,2021-04,68167.20022,119626.7,-51459.49978
28,2021-05,-272052.0707,-266965,-5087.070712
29,2021-06,20483.10978,61063.17,-40580.06022
30,2021-07,-15963.54235,30250.9,-46214.44235
31,2021-08,9550.126674,13483.36,-3933.233326
32,2021-09,-141914.0772,-121830,-20084.0772
33,2021-10,8027.671043,-74052,82079.67104
34,2021-11,288137.3341,278897.9,9239.434088
35,2021-12,215573.7493,184742.4,30831.34928
36,2022-01,-99996.74212,-33931.5,-66065.24212
37,2022-02,440428.8331,416139.3,24289.53306
38,2022-03,-65298.73342,-37075.2,-28223.53342
39,2022-04,184076.5883,201355,-17278.41168
40,2022-05,396007.5818,380443.6,15563.9818
41,2022-06,433961.4773,470629,-36667.52265
42,2022-07,-534590.2597,-515611,-18979.25973
43,2022-08,274223.7799,275690.3,-1466.520088
44,2022-09,66223.57859,67981.3,-1757.72141
45,2022-10,55442.28552,44227.3,11214.98552
46,2022-11,175327.1264,164255.9,11071.22643
47,2022-12,273423.2494,267472.9,5950.3494
48,2023-01,246215.4563,244587,1628.456345
49,2023-02,120642.8671,107232.5,13410.36712
50,2023-03,125929.0622,113035.1,12893.96224
51,2023-04,-90162.34786,-76820.6,-13341.74786
52,2023-05,-31383.66138,-26346.6,-5037.061384
53,2023-06,-121922.0704,-99188.1,-22733.9704
54,2023-07,-182959.2005,-170988,-11971.20049
55,2023-08,259427.2321,248704.5,10722.73209
56,2023-09,-65920.05772,-59913.1,-6006.957716
57,2023-10,179552.9983,162245,17307.99828
58,2023-11,-512438.5832,-488375,-24063.58317
59,2023-12,-468149.3191,-467067,-1082.319126
60,2024-01,122569.3757,176794.9,-54225.52427
61,2024-02,-126423.4138,-146651,20227.58622
62,2024-03,245088.1999,266535.6,-21447.40013
63,2024-04,129006.8865,149079.3,-20072.41354
64,2024-05,141471.6118,162716.2,-21244.58815
65,2024-06,-92841.6431,-59868.8,-32972.8431
,,-3707.617076,526361.63,-530069.2471
