Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ASIANPAINT-I1260PE,2019-01-01,5.45,5.5,5.45,5.5,1200.0,5400.0
ASIANPAINT-I1280PE,2019-01-01,4.55,6.5,4.55,6.5,1800.0,16200.0
ASIANPAINT-I1300PE,2019-01-01,12.05,13.7,9.75,10.5,33000.0,41400.0
ASIANPAINT-I1320PE,2019-01-01,16.05,19.3,13.05,14.7,87600.0,23400.0
ASIANPAINT-I1340PE,2019-01-01,18.65,26.4,18.15,19.2,27000.0,27600.0
ASIANPAINT-I1360CE,2019-01-01,44.75,51.15,39.2,46.7,19800.0,25200.0
ASIANPAINT-I1360PE,2019-01-01,28.15,34.75,25.15,28.5,83400.0,47400.0
ASIANPAINT-I1380CE,2019-01-01,35.7,39.5,30.45,35.2,87600.0,33600.0
ASIANPAINT-I1380PE,2019-01-01,41.3,44.8,33.15,37.0,5400.0,10800.0
ASIANPAINT-I1400CE,2019-01-01,25.65,30.2,22.2,27.2,172200.0,72600.0
ASIANPAINT-I1400PE,2019-01-01,48.7,55.05,43.35,43.4,6000.0,8400.0
ASIANPAINT-I1420CE,2019-01-01,20.2,22.0,16.1,19.9,107400.0,74400.0
ASIANPAINT-I1440CE,2019-01-01,15.75,15.75,12.3,13.95,52800.0,51000.0
ASIANPAINT-I1460CE,2019-01-01,11.0,12.8,11.0,12.8,1200.0,25200.0
ASIANPAINT-I1500CE,2019-01-01,4.65,5.3,3.95,5.3,10800.0,49800.0
ASIANPAINT-I1520CE,2019-01-01,4.0,4.0,4.0,4.0,600.0,8400.0
ASIANPAINT-I1200PE,2019-01-02,1.2,1.25,1.2,1.25,1800.0,7200.0
ASIANPAINT-I1240PE,2019-01-02,2.5,2.5,2.5,2.5,600.0,600.0
ASIANPAINT-I1260PE,2019-01-02,4.2,4.2,4.15,4.15,1800.0,6000.0
ASIANPAINT-I1280PE,2019-01-02,8.0,8.1,6.45,6.5,18600.0,21600.0
ASIANPAINT-I1300CE,2019-01-02,99.1,100.35,97.0,100.35,2400.0,4800.0
ASIANPAINT-I1300PE,2019-01-02,12.0,12.0,8.15,9.75,48600.0,55200.0
ASIANPAINT-I1320PE,2019-01-02,15.6,17.5,11.55,13.25,89400.0,29400.0
ASIANPAINT-I1340PE,2019-01-02,22.65,23.45,16.6,18.4,73800.0,32400.0
ASIANPAINT-I1360CE,2019-01-02,45.1,56.85,43.2,53.45,23400.0,21600.0
ASIANPAINT-I1360PE,2019-01-02,30.45,31.85,22.5,26.0,107400.0,49200.0
ASIANPAINT-I1380CE,2019-01-02,35.4,45.1,33.05,42.4,151200.0,30600.0
ASIANPAINT-I1380PE,2019-01-02,37.7,38.6,30.8,34.8,42000.0,24000.0
ASIANPAINT-I1400CE,2019-01-02,26.5,36.0,25.0,34.65,369600.0,116400.0
ASIANPAINT-I1400PE,2019-01-02,51.2,51.2,40.25,44.3,11400.0,16200.0
ASIANPAINT-I1420CE,2019-01-02,20.0,27.25,18.0,25.5,166200.0,85800.0
ASIANPAINT-I1420PE,2019-01-02,54.1,56.35,54.1,56.0,2400.0,4800.0
ASIANPAINT-I1440CE,2019-01-02,13.45,20.0,13.2,19.2,136800.0,61800.0
ASIANPAINT-I1440PE,2019-01-02,67.2,69.55,67.2,69.55,3000.0,1200.0
ASIANPAINT-I1460CE,2019-01-02,11.5,14.5,9.55,12.85,12000.0,29400.0
ASIANPAINT-I1480CE,2019-01-02,8.0,10.2,8.0,9.9,7800.0,14400.0
ASIANPAINT-I1500CE,2019-01-02,5.0,7.3,4.85,5.55,24000.0,59400.0
ASIANPAINT-I1520CE,2019-01-02,4.0,4.0,4.0,4.0,1200.0,9000.0
ASIANPAINT-I1200PE,2019-01-03,1.0,2.0,1.0,1.5,4800.0,10200.0
ASIANPAINT-I1260PE,2019-01-03,4.0,4.0,4.0,4.0,1200.0,7800.0
ASIANPAINT-I1280PE,2019-01-03,6.0,6.0,5.5,5.5,1200.0,21000.0
ASIANPAINT-I1300CE,2019-01-03,102.75,102.75,100.75,100.75,1200.0,5400.0
ASIANPAINT-I1300PE,2019-01-03,8.0,9.55,7.25,8.8,48000.0,57000.0
ASIANPAINT-I1320CE,2019-01-03,86.85,86.85,83.3,83.3,1200.0,4200.0
ASIANPAINT-I1320PE,2019-01-03,13.1,13.55,11.0,12.05,64200.0,34800.0
ASIANPAINT-I1340PE,2019-01-03,15.85,18.0,15.65,17.1,63600.0,35400.0
ASIANPAINT-I1360CE,2019-01-03,56.0,59.2,55.1,55.1,6600.0,22200.0
ASIANPAINT-I1360PE,2019-01-03,23.25,25.05,21.55,23.65,102600.0,57000.0
ASIANPAINT-I1380CE,2019-01-03,43.4,48.0,42.2,43.0,83400.0,30000.0
ASIANPAINT-I1380PE,2019-01-03,32.0,33.85,28.85,31.7,54000.0,28800.0
ASIANPAINT-I1400CE,2019-01-03,32.7,38.25,32.2,33.8,420000.0,127800.0
ASIANPAINT-I1400PE,2019-01-03,43.25,45.0,39.0,41.1,30000.0,19200.0
ASIANPAINT-I1420CE,2019-01-03,24.95,29.95,24.35,25.15,237000.0,117000.0
ASIANPAINT-I1420PE,2019-01-03,54.6,54.6,50.9,50.9,3600.0,4200.0
ASIANPAINT-I1440CE,2019-01-03,19.3,22.4,17.6,18.5,252600.0,114000.0
ASIANPAINT-I1440PE,2019-01-03,66.3,66.3,64.8,64.8,1200.0,1200.0
ASIANPAINT-I1460CE,2019-01-03,14.05,16.4,12.65,12.95,46800.0,39000.0
ASIANPAINT-I1480CE,2019-01-03,12.0,12.0,8.7,9.45,19200.0,24000.0
ASIANPAINT-I1500CE,2019-01-03,6.5,8.45,6.0,6.15,27600.0,65400.0
ASIANPAINT-I1520CE,2019-01-03,4.0,5.0,4.0,5.0,1200.0,9600.0
ASIANPAINT-I1260PE,2019-01-04,3.25,3.25,2.95,2.95,4200.0,9000.0
ASIANPAINT-I1280PE,2019-01-04,5.5,5.5,4.8,4.8,6000.0,20400.0
ASIANPAINT-I1300PE,2019-01-04,8.0,8.35,6.65,7.75,20400.0,57600.0
ASIANPAINT-I1320PE,2019-01-04,10.8,11.75,9.2,10.45,91200.0,51000.0
ASIANPAINT-I1340PE,2019-01-04,15.35,16.6,13.0,15.25,64200.0,48000.0
ASIANPAINT-I1360CE,2019-01-04,61.0,63.8,58.0,63.8,4800.0,21000.0
ASIANPAINT-I1360PE,2019-01-04,21.4,22.95,18.65,22.0,126600.0,75000.0
ASIANPAINT-I1380CE,2019-01-04,46.35,51.2,41.5,41.5,36000.0,29400.0
ASIANPAINT-I1380PE,2019-01-04,28.65,31.0,24.85,30.0,79800.0,35400.0
ASIANPAINT-I1400CE,2019-01-04,35.5,40.0,32.2,32.7,293400.0,121800.0
ASIANPAINT-I1400PE,2019-01-04,38.45,41.3,33.95,41.3,40200.0,19800.0
ASIANPAINT-I1420CE,2019-01-04,27.5,30.45,24.15,24.25,196200.0,147000.0
ASIANPAINT-I1420PE,2019-01-04,48.0,50.8,47.3,49.45,3600.0,3600.0
