Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
INFY-I550PE,2019-01-01,1.3,1.3,0.9,1.0,32400.0,74400.0
INFY-I560PE,2019-01-01,1.05,1.45,1.05,1.45,2400.0,21600.0
INFY-I570PE,2019-01-01,2.4,2.4,2.0,2.0,7200.0,31200.0
INFY-I580CE,2019-01-01,89.0,89.0,89.0,89.0,1200.0,2400.0
INFY-I580PE,2019-01-01,2.95,3.7,2.7,2.7,38400.0,154800.0
INFY-I590PE,2019-01-01,4.15,4.45,4.15,4.2,14400.0,64800.0
INFY-I600CE,2019-01-01,64.0,69.65,64.0,69.65,2400.0,8400.0
INFY-I600PE,2019-01-01,5.65,6.8,4.8,4.8,198000.0,517200.0
INFY-I610PE,2019-01-01,8.85,9.0,6.4,6.4,322800.0,128400.0
INFY-I620PE,2019-01-01,11.35,11.4,8.4,8.5,243600.0,326400.0
INFY-I630PE,2019-01-01,12.85,14.9,10.9,11.0,195600.0,142800.0
INFY-I640CE,2019-01-01,37.35,41.7,35.5,41.7,19200.0,57600.0
INFY-I640PE,2019-01-01,16.6,18.3,13.7,13.7,180000.0,704400.0
INFY-I650CE,2019-01-01,31.6,35.75,29.85,35.6,76800.0,145200.0
INFY-I650PE,2019-01-01,20.8,23.0,17.5,17.7,163200.0,586800.0
INFY-I660CE,2019-01-01,27.25,30.15,24.8,29.9,477600.0,525600.0
INFY-I660PE,2019-01-01,25.85,28.2,21.6,21.6,189600.0,262800.0
INFY-I670CE,2019-01-01,22.5,25.4,21.0,25.25,285600.0,226800.0
INFY-I670PE,2019-01-01,33.55,33.55,26.5,26.9,24000.0,55200.0
INFY-I680CE,2019-01-01,19.35,21.0,17.15,20.85,505200.0,715200.0
INFY-I680PE,2019-01-01,38.15,38.15,32.1,32.25,6000.0,80400.0
INFY-I690CE,2019-01-01,15.9,17.0,13.9,17.0,286800.0,206400.0
INFY-I690PE,2019-01-01,41.4,41.4,41.4,41.4,1200.0,9600.0
INFY-I700CE,2019-01-01,13.3,13.8,11.4,13.75,819600.0,1240800.0
INFY-I700PE,2019-01-01,52.0,52.0,44.7,44.7,6000.0,96000.0
INFY-I710CE,2019-01-01,11.0,11.0,9.1,10.7,67200.0,206400.0
INFY-I720CE,2019-01-01,8.35,8.7,7.25,8.4,202800.0,242400.0
INFY-I730CE,2019-01-01,5.95,6.8,5.7,6.7,75600.0,103200.0
INFY-I740CE,2019-01-01,4.05,5.25,4.05,5.1,32400.0,145200.0
INFY-I750CE,2019-01-01,3.85,4.3,3.7,4.05,78000.0,760800.0
INFY-I750PE,2019-01-01,87.1,87.1,87.1,87.1,1200.0,13200.0
INFY-I760CE,2019-01-01,3.0,3.1,3.0,3.1,14400.0,189600.0
INFY-I770CE,2019-01-01,2.4,2.5,2.35,2.45,14400.0,67200.0
INFY-I800CE,2019-01-01,1.35,1.6,1.3,1.6,25200.0,231600.0
INFY-I850CE,2019-01-01,0.5,0.85,0.3,0.3,4800.0,20400.0
INFY-I550PE,2019-01-02,0.85,1.0,0.75,1.0,8400.0,69600.0
INFY-I560PE,2019-01-02,1.5,1.5,1.5,1.5,4800.0,24000.0
INFY-I570PE,2019-01-02,2.0,2.0,1.75,1.85,12000.0,33600.0
INFY-I580CE,2019-01-02,92.1,92.1,92.1,92.1,1200.0,1200.0
INFY-I580PE,2019-01-02,2.7,2.7,2.1,2.35,32400.0,160800.0
INFY-I590PE,2019-01-02,4.0,4.0,3.0,3.5,6000.0,63600.0
INFY-I600CE,2019-01-02,74.5,75.5,74.5,75.5,2400.0,10800.0
INFY-I600PE,2019-01-02,5.0,5.05,3.8,4.7,264000.0,519600.0
INFY-I610CE,2019-01-02,65.0,65.0,65.0,65.0,1200.0,1200.0
INFY-I610PE,2019-01-02,6.2,6.7,5.2,6.1,186000.0,106800.0
INFY-I620CE,2019-01-02,59.75,60.5,55.1,55.1,6000.0,13200.0
INFY-I620PE,2019-01-02,9.2,9.2,6.9,8.0,463200.0,349200.0
INFY-I630CE,2019-01-02,50.65,53.5,46.05,46.05,9600.0,25200.0
INFY-I630PE,2019-01-02,10.2,11.5,9.0,10.5,391200.0,207600.0
INFY-I640CE,2019-01-02,45.0,46.95,43.0,43.0,27600.0,52800.0
INFY-I640PE,2019-01-02,13.9,14.7,11.5,13.6,501600.0,732000.0
INFY-I650CE,2019-01-02,32.4,41.1,32.4,36.4,180000.0,195600.0
INFY-I650PE,2019-01-02,18.55,18.6,14.8,16.8,1246800.0,991200.0
INFY-I660CE,2019-01-02,27.8,34.5,27.65,31.2,477600.0,470400.0
INFY-I660PE,2019-01-02,22.35,23.3,18.5,20.8,630000.0,297600.0
INFY-I670CE,2019-01-02,23.55,29.15,23.5,26.15,1279200.0,531600.0
INFY-I670PE,2019-01-02,25.5,28.0,22.95,26.1,300000.0,114000.0
INFY-I680CE,2019-01-02,19.4,24.3,19.3,21.9,1429200.0,1016400.0
INFY-I680PE,2019-01-02,31.0,32.35,27.95,31.45,145200.0,114000.0
INFY-I690CE,2019-01-02,16.3,20.0,16.0,17.45,555600.0,249600.0
INFY-I700CE,2019-01-02,12.95,16.3,12.75,14.0,2589600.0,1510800.0
INFY-I700PE,2019-01-02,44.0,45.4,39.75,43.0,19200.0,99600.0
INFY-I710CE,2019-01-02,10.5,12.95,10.3,11.35,453600.0,266400.0
INFY-I710PE,2019-01-02,51.6,51.6,47.6,47.6,2400.0,10800.0
