Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
KOTAKBANK-I1000PE,2019-01-01,1.75,1.85,1.15,1.3,12800.0,28800.0
KOTAKBANK-I1040PE,2019-01-01,2.1,2.1,2.1,2.1,800.0,10400.0
KOTAKBANK-I1060PE,2019-01-01,2.1,2.1,2.1,2.1,800.0,10400.0
KOTAKBANK-I1080PE,2019-01-01,4.0,4.0,3.2,3.2,3200.0,8000.0
KOTAKBANK-I1100PE,2019-01-01,6.25,6.7,5.0,5.4,103200.0,130400.0
KOTAKBANK-I1120PE,2019-01-01,8.05,8.55,7.6,7.6,13600.0,24000.0
KOTAKBANK-I1140CE,2019-01-01,126.0,126.0,126.0,126.0,800.0,5600.0
KOTAKBANK-I1140PE,2019-01-01,11.3,11.95,9.9,10.25,66400.0,81600.0
KOTAKBANK-I1160CE,2019-01-01,111.0,111.0,111.0,111.0,800.0,8000.0
KOTAKBANK-I1160PE,2019-01-01,19.0,19.0,12.95,13.8,45600.0,114400.0
KOTAKBANK-I1180CE,2019-01-01,92.2,92.2,92.2,92.2,800.0,3200.0
KOTAKBANK-I1180PE,2019-01-01,20.1,21.05,17.4,17.9,149600.0,66400.0
KOTAKBANK-I1200CE,2019-01-01,82.0,82.5,77.75,79.7,8000.0,34400.0
KOTAKBANK-I1200PE,2019-01-01,25.5,27.4,22.5,24.0,352000.0,282400.0
KOTAKBANK-I1220CE,2019-01-01,66.5,66.5,65.25,65.25,1600.0,29600.0
KOTAKBANK-I1220PE,2019-01-01,32.55,35.0,29.65,31.5,128800.0,76000.0
KOTAKBANK-I1240CE,2019-01-01,60.95,60.95,52.1,52.85,56800.0,113600.0
KOTAKBANK-I1240PE,2019-01-01,41.0,43.9,37.0,39.0,159200.0,193600.0
KOTAKBANK-I1260CE,2019-01-01,52.05,52.05,42.75,43.5,314400.0,397600.0
KOTAKBANK-I1260PE,2019-01-01,50.35,53.65,47.05,49.8,62400.0,58400.0
KOTAKBANK-I1280CE,2019-01-01,40.95,41.4,33.65,34.3,272000.0,198400.0
KOTAKBANK-I1280PE,2019-01-01,60.9,64.95,57.25,58.5,9600.0,8800.0
KOTAKBANK-I1300CE,2019-01-01,33.1,33.2,26.5,27.0,493600.0,345600.0
KOTAKBANK-I1300PE,2019-01-01,76.0,77.65,73.15,77.65,3200.0,25600.0
KOTAKBANK-I1320CE,2019-01-01,26.35,26.5,20.2,20.75,208000.0,172800.0
KOTAKBANK-I1320PE,2019-01-01,86.25,86.25,86.25,86.25,800.0,4000.0
KOTAKBANK-I1340CE,2019-01-01,20.8,21.2,15.6,15.7,192800.0,139200.0
KOTAKBANK-I1360CE,2019-01-01,16.7,16.7,12.15,12.5,22400.0,98400.0
KOTAKBANK-I1380CE,2019-01-01,12.2,12.3,9.0,9.25,24000.0,70400.0
KOTAKBANK-I1400CE,2019-01-01,9.5,10.0,6.5,6.55,225600.0,183200.0
KOTAKBANK-I1420CE,2019-01-01,6.7,6.7,4.4,4.7,7200.0,12800.0
KOTAKBANK-I1440CE,2019-01-01,4.0,5.4,3.5,4.9,15200.0,31200.0
KOTAKBANK-I1460CE,2019-01-01,2.3,2.5,2.3,2.5,1600.0,12000.0
KOTAKBANK-I1480CE,2019-01-01,1.85,2.35,1.8,2.0,5600.0,4000.0
KOTAKBANK-I1500CE,2019-01-01,3.0,3.0,1.5,1.75,28000.0,35200.0
KOTAKBANK-I1540CE,2019-01-01,1.2,1.2,1.2,1.2,800.0,4000.0
KOTAKBANK-I940CE,2019-01-02,312.5,312.5,301.85,301.85,1600.0,800.0
KOTAKBANK-I1000PE,2019-01-02,1.3,1.55,1.05,1.55,8000.0,28000.0
KOTAKBANK-I1080PE,2019-01-02,5.65,5.85,5.65,5.85,3200.0,8000.0
KOTAKBANK-I1100PE,2019-01-02,5.75,7.35,5.25,5.75,66400.0,137600.0
KOTAKBANK-I1120PE,2019-01-02,7.6,10.0,7.4,10.0,4800.0,25600.0
KOTAKBANK-I1140CE,2019-01-02,109.5,113.85,107.0,113.85,3200.0,6400.0
KOTAKBANK-I1140PE,2019-01-02,10.95,13.4,10.25,10.45,59200.0,104800.0
KOTAKBANK-I1160CE,2019-01-02,103.5,103.5,91.0,94.5,7200.0,8000.0
KOTAKBANK-I1160PE,2019-01-02,14.1,18.0,13.9,14.35,78400.0,133600.0
KOTAKBANK-I1180CE,2019-01-02,87.0,88.5,71.85,71.85,4800.0,4000.0
KOTAKBANK-I1180PE,2019-01-02,19.1,24.0,18.8,19.5,70400.0,71200.0
KOTAKBANK-I1200CE,2019-01-02,72.3,72.95,63.9,72.5,36800.0,44800.0
KOTAKBANK-I1200PE,2019-01-02,24.6,31.5,24.6,25.15,346400.0,303200.0
KOTAKBANK-I1220CE,2019-01-02,58.1,59.9,58.1,58.9,4800.0,30400.0
KOTAKBANK-I1220PE,2019-01-02,33.0,40.0,32.0,33.1,110400.0,72800.0
KOTAKBANK-I1240CE,2019-01-02,48.3,52.5,41.0,46.85,128000.0,116800.0
KOTAKBANK-I1240PE,2019-01-02,42.75,50.6,40.25,42.55,244800.0,177600.0
KOTAKBANK-I1260CE,2019-01-02,40.65,43.0,33.0,37.55,463200.0,376800.0
KOTAKBANK-I1260PE,2019-01-02,52.7,61.05,51.9,54.7,48000.0,47200.0
KOTAKBANK-I1280CE,2019-01-02,33.5,34.3,25.8,30.0,420000.0,187200.0
KOTAKBANK-I1280PE,2019-01-02,65.5,70.4,61.75,66.75,7200.0,10400.0
KOTAKBANK-I1300CE,2019-01-02,24.3,27.05,20.25,23.75,436000.0,328000.0
KOTAKBANK-I1300PE,2019-01-02,81.1,81.1,81.1,81.1,1600.0,25600.0
KOTAKBANK-I1320CE,2019-01-02,18.75,20.35,15.25,17.95,152000.0,197600.0
KOTAKBANK-I1320PE,2019-01-02,95.35,95.35,95.35,95.35,800.0,3200.0
KOTAKBANK-I1340CE,2019-01-02,14.25,15.5,11.5,13.65,122400.0,185600.0
KOTAKBANK-I1360CE,2019-01-02,8.65,11.45,8.0,9.9,30400.0,105600.0
KOTAKBANK-I1380CE,2019-01-02,8.65,8.95,6.05,7.0,14400.0,71200.0
KOTAKBANK-I1400CE,2019-01-02,6.05,6.9,4.9,5.5,145600.0,196800.0
KOTAKBANK-I1420CE,2019-01-02,4.3,5.0,3.75,3.75,9600.0,16000.0
KOTAKBANK-I1440CE,2019-01-02,3.0,4.05,2.35,3.0,6400.0,29600.0
KOTAKBANK-I1460CE,2019-01-02,2.15,2.15,2.15,2.15,800.0,12000.0
KOTAKBANK-I1480CE,2019-01-02,2.0,3.5,2.0,2.0,2400.0,4800.0
KOTAKBANK-I1500CE,2019-01-02,1.65,1.65,1.35,1.35,7200.0,36800.0
KOTAKBANK-I1000PE,2019-01-03,1.5,1.5,1.0,1.0,5600.0,25600.0
KOTAKBANK-I1100PE,2019-01-03,5.6,5.95,4.65,5.05,20000.0,128000.0
KOTAKBANK-I1140CE,2019-01-03,113.1,118.65,110.65,110.65,3200.0,6400.0
KOTAKBANK-I1140PE,2019-01-03,11.0,11.0,9.15,9.6,32800.0,118400.0
KOTAKBANK-I1160CE,2019-01-03,98.65,104.75,98.65,104.75,5600.0,7200.0
KOTAKBANK-I1160PE,2019-01-03,14.0,15.45,12.5,13.95,23200.0,132800.0
KOTAKBANK-I1180CE,2019-01-03,88.7,89.95,81.25,81.25,4000.0,5600.0
KOTAKBANK-I1180PE,2019-01-03,19.45,21.35,17.0,19.1,61600.0,83200.0
KOTAKBANK-I1200CE,2019-01-03,74.75,75.35,65.5,65.5,9600.0,44800.0
KOTAKBANK-I1200PE,2019-01-03,25.8,28.1,22.8,24.7,219200.0,305600.0
KOTAKBANK-I1220CE,2019-01-03,61.9,63.0,51.5,55.0,18400.0,32800.0
KOTAKBANK-I1220PE,2019-01-03,33.15,36.5,29.6,33.0,369600.0,73600.0
KOTAKBANK-I1240CE,2019-01-03,46.2,54.15,42.5,43.5,142400.0,128800.0
KOTAKBANK-I1240PE,2019-01-03,42.0,45.5,37.3,42.2,87200.0,172800.0
KOTAKBANK-I1260CE,2019-01-03,36.6,44.25,32.4,34.55,403200.0,370400.0
KOTAKBANK-I1260PE,2019-01-03,50.0,57.25,47.95,51.8,18400.0,46400.0
KOTAKBANK-I1280CE,2019-01-03,28.35,33.8,24.75,24.75,391200.0,187200.0
KOTAKBANK-I1280PE,2019-01-03,61.35,67.75,58.8,67.75,6400.0,12000.0
KOTAKBANK-I1300CE,2019-01-03,23.6,26.2,19.6,20.0,212000.0,338400.0
KOTAKBANK-I1300PE,2019-01-03,77.2,79.0,71.1,79.0,7200.0,26400.0
