Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
SBIN-I240PE,2019-01-01,0.35,0.35,0.35,0.35,3000.0,9000.0
SBIN-I250CE,2019-01-01,45.8,47.35,45.8,47.35,6000.0,30000.0
SBIN-I250PE,2019-01-01,0.45,0.45,0.35,0.35,120000.0,462000.0
SBIN-I260CE,2019-01-01,36.9,39.85,36.9,39.85,6000.0,24000.0
SBIN-I260PE,2019-01-01,0.75,0.85,0.55,0.6,222000.0,687000.0
SBIN-I265CE,2019-01-01,31.2,31.2,31.2,31.2,3000.0,9000.0
SBIN-I265PE,2019-01-01,1.05,1.05,0.8,0.8,27000.0,72000.0
SBIN-I270CE,2019-01-01,27.45,27.45,27.0,27.05,15000.0,180000.0
SBIN-I270PE,2019-01-01,1.45,1.75,1.15,1.2,564000.0,774000.0
SBIN-I275PE,2019-01-01,2.15,2.45,1.6,1.6,291000.0,453000.0
SBIN-I280CE,2019-01-01,19.5,23.5,18.55,23.5,93000.0,159000.0
SBIN-I280PE,2019-01-01,3.0,3.55,2.25,2.3,1641000.0,1812000.0
SBIN-I285CE,2019-01-01,15.55,19.2,15.25,19.2,39000.0,42000.0
SBIN-I285PE,2019-01-01,4.3,4.95,3.25,3.25,1485000.0,699000.0
SBIN-I290CE,2019-01-01,12.9,16.4,12.15,16.3,567000.0,507000.0
SBIN-I290PE,2019-01-01,5.85,6.85,4.55,4.55,3270000.0,1821000.0
SBIN-I295CE,2019-01-01,10.35,13.0,9.35,13.0,1878000.0,462000.0
SBIN-I295PE,2019-01-01,7.85,9.1,6.2,6.3,2571000.0,678000.0
SBIN-I300CE,2019-01-01,8.25,10.3,7.2,10.25,6243000.0,2970000.0
SBIN-I300PE,2019-01-01,10.35,11.85,8.2,8.3,2265000.0,1299000.0
SBIN-I305CE,2019-01-01,6.1,7.85,5.35,7.8,1803000.0,768000.0
SBIN-I305PE,2019-01-01,13.8,14.4,10.75,10.75,84000.0,96000.0
SBIN-I310CE,2019-01-01,4.6,6.05,3.95,5.95,4056000.0,2109000.0
SBIN-I310PE,2019-01-01,17.15,17.5,13.8,13.8,57000.0,228000.0
SBIN-I315CE,2019-01-01,3.35,4.35,2.9,4.35,1185000.0,582000.0
SBIN-I320CE,2019-01-01,2.5,3.3,2.05,3.3,2493000.0,1521000.0
SBIN-I320PE,2019-01-01,22.0,22.0,21.55,21.55,12000.0,111000.0
SBIN-I325CE,2019-01-01,1.65,2.3,1.5,2.3,468000.0,432000.0
SBIN-I325PE,2019-01-01,26.5,26.5,26.5,26.5,3000.0,0.0
SBIN-I330CE,2019-01-01,1.3,1.6,1.1,1.6,714000.0,993000.0
SBIN-I335CE,2019-01-01,0.8,1.2,0.8,1.2,39000.0,57000.0
