Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
TATAMOTORS-I140PE,2019-01-01,0.5,0.5,0.5,0.5,8000.0,272000.0
TATAMOTORS-I145PE,2019-01-01,0.85,0.85,0.75,0.75,4000.0,32000.0
TATAMOTORS-I150CE,2019-01-01,25.3,25.3,25.3,25.3,2000.0,14000.0
TATAMOTORS-I150PE,2019-01-01,1.25,1.35,0.95,1.0,198000.0,572000.0
TATAMOTORS-I155PE,2019-01-01,1.95,2.05,1.5,1.5,104000.0,178000.0
TATAMOTORS-I160CE,2019-01-01,17.0,17.0,16.4,16.95,32000.0,192000.0
TATAMOTORS-I160PE,2019-01-01,2.5,3.05,2.3,2.45,510000.0,588000.0
TATAMOTORS-I165CE,2019-01-01,11.9,13.35,11.9,13.35,30000.0,68000.0
TATAMOTORS-I165PE,2019-01-01,4.15,4.55,3.55,3.55,474000.0,524000.0
TATAMOTORS-I170CE,2019-01-01,9.1,10.3,8.8,10.3,688000.0,944000.0
TATAMOTORS-I170PE,2019-01-01,6.15,6.55,5.15,5.3,1104000.0,1002000.0
TATAMOTORS-I175CE,2019-01-01,6.8,7.5,6.45,7.45,876000.0,816000.0
TATAMOTORS-I175PE,2019-01-01,8.45,9.1,7.25,7.25,162000.0,392000.0
TATAMOTORS-I180CE,2019-01-01,4.8,5.3,4.55,5.25,1546000.0,2468000.0
TATAMOTORS-I180PE,2019-01-01,11.75,12.0,9.9,9.9,74000.0,222000.0
TATAMOTORS-I185CE,2019-01-01,3.4,3.65,3.1,3.6,390000.0,728000.0
TATAMOTORS-I185PE,2019-01-01,14.9,14.9,14.2,14.2,4000.0,102000.0
TATAMOTORS-I190CE,2019-01-01,2.5,2.55,2.1,2.45,1576000.0,1912000.0
TATAMOTORS-I190PE,2019-01-01,18.7,18.75,17.1,17.25,26000.0,92000.0
TATAMOTORS-I195CE,2019-01-01,1.6,1.65,1.45,1.6,258000.0,452000.0
TATAMOTORS-I200CE,2019-01-01,1.25,1.3,1.0,1.2,1506000.0,2554000.0
TATAMOTORS-I200PE,2019-01-01,27.7,27.7,25.8,25.85,216000.0,644000.0
TATAMOTORS-I205CE,2019-01-01,0.85,0.85,0.75,0.8,14000.0,132000.0
TATAMOTORS-I210CE,2019-01-01,0.6,0.6,0.5,0.6,234000.0,772000.0
TATAMOTORS-I220CE,2019-01-01,0.3,0.35,0.3,0.35,110000.0,362000.0
TATAMOTORS-I225CE,2019-01-01,0.3,0.3,0.3,0.3,10000.0,12000.0
TATAMOTORS-I230CE,2019-01-01,0.25,0.25,0.25,0.25,2000.0,42000.0
TATAMOTORS-I240CE,2019-01-01,0.2,0.2,0.2,0.2,2000.0,22000.0
TATAMOTORS-I260CE,2019-01-01,0.15,0.15,0.15,0.15,4000.0,82000.0
TATAMOTORS-I260PE,2019-01-01,85.0,85.0,85.0,85.0,2000.0,142000.0
TATAMOTORS-I265CE,2019-01-01,0.1,0.1,0.1,0.1,4000.0,38000.0
TATAMOTORS-I265PE,2019-01-01,90.0,90.0,90.0,90.0,4000.0,864000.0
TATAMOTORS-I130PE,2019-01-02,0.35,0.35,0.35,0.35,2000.0,0.0
TATAMOTORS-I135PE,2019-01-02,0.5,0.5,0.5,0.5,2000.0,0.0
TATAMOTORS-I140PE,2019-01-02,0.6,0.7,0.55,0.7,244000.0,362000.0
TATAMOTORS-I145PE,2019-01-02,0.9,1.1,0.85,1.1,154000.0,136000.0
TATAMOTORS-I150CE,2019-01-02,22.5,22.5,20.7,20.7,8000.0,18000.0
TATAMOTORS-I150PE,2019-01-02,1.4,1.7,1.2,1.65,954000.0,756000.0
TATAMOTORS-I155CE,2019-01-02,17.95,18.0,16.1,16.1,10000.0,16000.0
TATAMOTORS-I155PE,2019-01-02,2.05,2.6,1.85,2.55,418000.0,262000.0
TATAMOTORS-I160CE,2019-01-02,15.15,15.15,12.3,12.7,112000.0,200000.0
TATAMOTORS-I160PE,2019-01-02,2.5,3.9,2.5,3.8,1898000.0,724000.0
TATAMOTORS-I165CE,2019-01-02,11.0,11.55,9.1,9.1,86000.0,100000.0
TATAMOTORS-I165PE,2019-01-02,4.15,5.7,4.0,5.45,1688000.0,564000.0
TATAMOTORS-I170CE,2019-01-02,9.65,9.65,6.6,6.75,2238000.0,1342000.0
TATAMOTORS-I170PE,2019-01-02,7.0,8.15,6.2,7.95,2222000.0,992000.0
TATAMOTORS-I175CE,2019-01-02,6.9,7.0,4.6,4.75,2258000.0,1168000.0
TATAMOTORS-I175PE,2019-01-02,9.0,10.95,8.7,10.85,346000.0,396000.0
TATAMOTORS-I180CE,2019-01-02,4.5,4.75,3.1,3.15,3990000.0,2864000.0
TATAMOTORS-I180PE,2019-01-02,12.1,14.4,11.8,14.05,174000.0,220000.0
TATAMOTORS-I185CE,2019-01-02,3.0,3.0,2.05,2.1,1230000.0,958000.0
TATAMOTORS-I185PE,2019-01-02,16.4,16.4,16.4,16.4,4000.0,102000.0
TATAMOTORS-I190CE,2019-01-02,1.95,2.0,1.4,1.4,2610000.0,1872000.0
TATAMOTORS-I190PE,2019-01-02,19.15,22.25,19.15,22.25,36000.0,84000.0
TATAMOTORS-I195CE,2019-01-02,1.45,1.45,0.9,0.9,590000.0,592000.0
TATAMOTORS-I200CE,2019-01-02,1.0,1.0,0.65,0.65,2154000.0,2704000.0
TATAMOTORS-I200PE,2019-01-02,28.45,31.25,28.3,30.95,88000.0,710000.0
TATAMOTORS-I205CE,2019-01-02,0.7,0.7,0.5,0.5,76000.0,124000.0
TATAMOTORS-I210CE,2019-01-02,0.45,0.45,0.35,0.35,698000.0,968000.0
TATAMOTORS-I210PE,2019-01-02,39.8,40.95,39.8,40.95,4000.0,70000.0
TATAMOTORS-I215CE,2019-01-02,0.35,0.4,0.25,0.25,68000.0,60000.0
TATAMOTORS-I220CE,2019-01-02,0.25,0.3,0.2,0.25,200000.0,414000.0
TATAMOTORS-I220PE,2019-01-02,50.0,50.0,50.0,50.0,2000.0,84000.0
TATAMOTORS-I225CE,2019-01-02,0.25,0.25,0.25,0.25,8000.0,26000.0
TATAMOTORS-I230CE,2019-01-02,0.15,0.15,0.15,0.15,10000.0,44000.0
TATAMOTORS-I240CE,2019-01-02,0.15,0.15,0.15,0.15,2000.0,24000.0
TATAMOTORS-I265CE,2019-01-02,0.1,0.1,0.05,0.05,6000.0,38000.0
TATAMOTORS-I265PE,2019-01-02,93.8,95.25,93.8,95.25,4000.0,864000.0
TATAMOTORS-I120PE,2019-01-03,0.15,0.15,0.15,0.15,4000.0,6000.0
TATAMOTORS-I130PE,2019-01-03,0.45,0.45,0.35,0.4,8000.0,6000.0
TATAMOTORS-I135PE,2019-01-03,0.5,0.5,0.4,0.45,16000.0,4000.0
TATAMOTORS-I140PE,2019-01-03,0.55,0.8,0.55,0.8,210000.0,458000.0
TATAMOTORS-I145PE,2019-01-03,0.95,1.25,0.9,1.25,116000.0,192000.0
TATAMOTORS-I150CE,2019-01-03,19.8,19.8,19.8,19.8,2000.0,20000.0
TATAMOTORS-I150PE,2019-01-03,1.5,2.0,1.35,1.95,780000.0,812000.0
TATAMOTORS-I155CE,2019-01-03,15.45,15.45,14.4,14.95,8000.0,22000.0
TATAMOTORS-I155PE,2019-01-03,2.3,3.0,2.15,3.0,664000.0,300000.0
TATAMOTORS-I160CE,2019-01-03,13.25,13.25,10.45,10.5,268000.0,236000.0
TATAMOTORS-I160PE,2019-01-03,3.65,4.55,3.3,4.55,1518000.0,762000.0
TATAMOTORS-I165CE,2019-01-03,9.85,9.85,7.8,8.0,194000.0,162000.0
TATAMOTORS-I165PE,2019-01-03,5.15,6.55,4.85,6.5,1120000.0,592000.0
TATAMOTORS-I170CE,2019-01-03,7.05,7.5,5.5,5.55,2082000.0,1766000.0
