Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
TCS-I1700PE,2019-01-01,9.8,10.55,7.6,7.6,8500.0,1048000.0
TCS-I1720PE,2019-01-01,12.45,12.45,12.45,12.45,500.0,4250.0
TCS-I1750PE,2019-01-01,16.9,16.9,16.9,16.9,250.0,1250.0
TCS-I1760PE,2019-01-01,19.4,19.45,17.75,17.75,6500.0,12500.0
TCS-I1780PE,2019-01-01,22.9,25.65,20.1,20.1,48500.0,10750.0
TCS-I1800CE,2019-01-01,132.0,136.15,132.0,136.15,500.0,4500.0
TCS-I1800PE,2019-01-01,28.4,31.0,24.4,24.75,69250.0,148750.0
TCS-I1820PE,2019-01-01,33.45,36.8,29.05,29.65,44000.0,16750.0
TCS-I1840PE,2019-01-01,40.0,43.4,34.7,35.4,45000.0,24000.0
TCS-I1850PE,2019-01-01,42.75,47.2,37.7,38.2,30000.0,11250.0
TCS-I1860CE,2019-01-01,90.0,95.1,90.0,95.0,4250.0,9000.0
TCS-I1860PE,2019-01-01,46.95,51.0,41.5,41.65,53750.0,29000.0
TCS-I1880CE,2019-01-01,78.4,84.3,78.2,84.0,7500.0,10250.0
TCS-I1880PE,2019-01-01,57.2,58.9,48.7,49.05,38000.0,36500.0
TCS-I1900CE,2019-01-01,70.5,74.2,64.1,74.0,158500.0,81250.0
TCS-I1900PE,2019-01-01,64.1,68.6,56.75,57.6,104250.0,126000.0
TCS-I1920CE,2019-01-01,59.35,64.15,55.6,64.15,132750.0,63750.0
TCS-I1920PE,2019-01-01,75.4,79.95,64.0,67.3,11250.0,30250.0
TCS-I1940CE,2019-01-01,52.95,55.0,46.55,54.9,170000.0,100500.0
TCS-I1940PE,2019-01-01,91.2,91.2,78.75,79.35,4250.0,9750.0
TCS-I1950CE,2019-01-01,45.8,50.5,43.15,50.1,104750.0,25250.0
TCS-I1960CE,2019-01-01,43.8,46.5,40.35,46.5,82000.0,46000.0
TCS-I1960PE,2019-01-01,95.25,95.25,92.15,93.15,1750.0,11750.0
TCS-I1980CE,2019-01-01,37.05,39.45,33.65,39.0,58750.0,37000.0
TCS-I1980PE,2019-01-01,111.0,111.0,111.0,111.0,250.0,9000.0
TCS-I2000CE,2019-01-01,30.95,33.0,28.05,32.6,301250.0,294500.0
TCS-I2000PE,2019-01-01,121.0,121.0,116.85,116.85,1250.0,29000.0
TCS-I2020CE,2019-01-01,26.4,27.85,23.85,27.6,62250.0,23500.0
TCS-I2040CE,2019-01-01,22.05,23.4,19.5,23.4,77250.0,55000.0
TCS-I2040PE,2019-01-01,148.3,148.3,148.3,148.3,250.0,4750.0
TCS-I2050CE,2019-01-01,24.45,24.45,17.15,20.55,16750.0,4750.0
TCS-I2060CE,2019-01-01,18.4,19.7,15.9,16.5,15000.0,25250.0
TCS-I2060PE,2019-01-01,165.85,165.85,165.85,165.85,250.0,1500.0
TCS-I2080CE,2019-01-01,14.05,17.0,14.05,16.0,4000.0,13000.0
TCS-I2100CE,2019-01-01,12.8,14.4,11.6,13.9,220500.0,175250.0
TCS-I2160CE,2019-01-01,6.0,6.0,6.0,6.0,250.0,500.0
TCS-I2180CE,2019-01-01,6.0,6.0,6.0,6.0,250.0,1500.0
TCS-I2200CE,2019-01-01,5.45,5.65,4.55,5.3,31250.0,507000.0
TCS-I2200PE,2019-01-01,297.45,297.45,289.1,289.1,1000.0,20000.0
TCS-I2240CE,2019-01-01,3.5,3.95,3.5,3.5,3500.0,7500.0
TCS-I2260CE,2019-01-01,3.0,3.0,2.5,3.0,2250.0,7500.0
TCS-I1700PE,2019-01-02,6.5,7.95,6.5,7.35,14750.0,1052500.0
TCS-I1740PE,2019-01-02,13.6,13.6,13.4,13.4,1500.0,3500.0
TCS-I1750PE,2019-01-02,15.1,15.1,15.1,15.1,500.0,1250.0
TCS-I1760PE,2019-01-02,16.4,16.6,13.7,13.7,2500.0,11750.0
TCS-I1780PE,2019-01-02,20.2,20.2,16.55,16.55,4250.0,9500.0
TCS-I1800CE,2019-01-02,148.5,151.0,139.95,139.95,1250.0,4750.0
TCS-I1800PE,2019-01-02,23.6,24.65,19.6,22.25,264500.0,210000.0
TCS-I1820PE,2019-01-02,29.75,29.8,23.7,26.5,107000.0,20000.0
TCS-I1840CE,2019-01-02,125.0,125.0,111.2,111.2,500.0,2250.0
TCS-I1840PE,2019-01-02,34.5,35.3,27.95,32.55,56500.0,26250.0
TCS-I1850PE,2019-01-02,38.45,38.45,30.6,37.0,105500.0,25500.0
TCS-I1860CE,2019-01-02,107.0,107.65,107.0,107.65,500.0,7750.0
TCS-I1860PE,2019-01-02,41.3,41.6,33.5,38.8,169750.0,45500.0
TCS-I1880CE,2019-01-02,84.45,99.0,84.45,89.55,8250.0,7250.0
TCS-I1880PE,2019-01-02,48.0,49.0,39.8,45.95,75750.0,38500.0
TCS-I1900CE,2019-01-02,70.65,88.45,70.05,76.6,103250.0,59750.0
TCS-I1900PE,2019-01-02,57.35,58.15,47.35,54.0,161750.0,123500.0
TCS-I1920CE,2019-01-02,62.85,77.0,61.7,66.5,223000.0,58500.0
TCS-I1920PE,2019-01-02,68.35,68.35,56.0,62.85,80250.0,30750.0
TCS-I1940CE,2019-01-02,54.2,66.9,52.85,56.5,284500.0,108500.0
TCS-I1940PE,2019-01-02,74.7,78.25,65.85,73.45,38750.0,19250.0
TCS-I1950CE,2019-01-02,50.75,62.0,48.5,51.5,200250.0,41500.0
TCS-I1950PE,2019-01-02,77.2,83.35,72.95,75.65,11750.0,3000.0
